344,25	1288,17
344,46	1288,17
344,68	1288,17
344,90	1228,78
345,12	1165,29
345,34	1390,57
345,55	1359,85
345,77	1437,67
345,99	1396,71
346,21	1339,37
346,42	1404,91
346,64	1437,67
346,86	1337,32
347,08	1372,14
347,30	1374,19
347,51	1437,67
347,73	1429,48
347,95	1421,29
348,17	1488,87
348,38	1413,10
348,60	1406,95
348,82	1437,67
349,04	1370,09
349,25	1449,96
349,47	1480,68
349,69	1447,91
349,91	1474,54
350,13	1427,43
350,34	1431,53
350,56	1437,67
350,78	1349,61
351,00	1441,77
351,21	1384,43
351,43	1458,15
351,65	1335,28
351,87	1421,29
352,08	1417,19
352,30	1392,62
352,52	1431,53
352,74	1427,43
352,95	1456,11
353,17	1456,11
353,39	1374,19
353,61	1392,62
353,82	1517,54
354,04	1431,53
354,26	1419,24
354,47	1458,15
354,69	1359,85
354,91	1415,15
355,13	1429,48
355,34	1376,24
355,56	1417,19
355,78	1472,49
356,00	1439,72
356,21	1361,90
356,43	1423,34
356,65	1497,07
356,86	1392,62
357,08	1492,97
357,30	1378,28
357,52	1406,95
357,73	1488,87
357,95	1484,78
358,17	1413,10
358,38	1415,15
358,60	1429,48
358,82	1468,39
359,04	1527,78
359,25	1499,11
359,47	1505,26
359,69	1419,24
359,90	1419,24
360,12	1554,41
360,34	1454,06
360,56	1531,88
360,77	1660,90
360,99	1572,84
361,21	1511,40
361,42	1560,55
361,64	1548,26
361,86	1585,13
362,07	1613,80
362,29	1648,61
362,51	1574,89
362,73	1578,98
362,94	1560,55
363,16	1542,12
363,38	1587,18
363,59	1722,34
363,81	1597,42
364,03	1677,29
364,24	1699,81
364,46	1621,99
364,68	1648,61
364,89	1585,13
365,11	1738,73
365,33	1642,47
365,54	1626,09
365,76	1665,00
365,98	1699,81
366,19	1665,00
366,41	1628,14
366,63	1673,19
366,84	1689,57
367,06	1638,38
367,28	1683,43
367,49	1570,79
367,71	1621,99
367,93	1564,65
368,14	1669,09
368,36	1619,94
368,58	1634,28
368,79	1675,24
369,01	1740,77
369,23	1685,48
369,44	1607,66
369,66	1652,71
369,88	1773,54
370,09	1617,90
370,31	1658,85
370,53	1658,85
370,74	1636,33
370,96	1609,70
371,18	1636,33
371,39	1619,94
371,61	1718,25
371,82	1656,81
372,04	1607,66
372,26	1589,22
372,47	1581,03
372,69	1599,46
372,91	1652,71
373,12	1576,94
373,34	1656,81
373,56	1583,08
373,77	1619,94
373,99	1626,09
374,20	1628,14
374,42	1630,18
374,64	1652,71
374,85	1574,89
375,07	1691,62
375,29	1509,35
375,50	1488,87
375,72	1556,46
375,93	1568,74
376,15	1546,22
376,37	1568,74
376,58	1570,79
376,80	1570,79
377,01	1507,30
377,23	1669,09
377,45	1478,63
377,66	1558,50
377,88	1458,15
378,10	1503,21
378,31	1538,02
378,53	1511,40
378,74	1509,35
378,96	1556,46
379,18	1515,50
379,39	1554,41
379,61	1492,97
379,82	1486,83
380,04	1554,41
380,26	1546,22
380,47	1394,67
380,69	1583,08
380,90	1538,02
381,12	1466,35
381,33	1523,69
381,55	1452,01
381,77	1511,40
381,98	1421,29
382,20	1462,25
382,41	1429,48
382,63	1527,78
382,85	1527,78
383,06	1460,20
383,28	1443,82
383,49	1509,35
383,71	1492,97
383,92	1431,53
384,14	1421,29
384,36	1353,71
384,57	1468,39
384,79	1468,39
385,00	1482,73
385,22	1501,16
385,43	1392,62
385,65	1484,78
385,87	1439,72
386,08	1419,24
386,30	1388,52
386,51	1478,63
386,73	1441,77
386,94	1466,35
387,16	1535,98
387,37	1476,59
387,59	1429,48
387,81	1460,20
388,02	1511,40
388,24	1435,63
388,45	1441,77
388,67	1447,91
388,88	1470,44
389,10	1394,67
389,31	1492,97
389,53	1472,49
389,75	1492,97
389,96	1441,77
390,18	1400,81
390,39	1343,47
390,61	1568,74
390,82	1443,82
391,04	1443,82
391,25	1419,24
391,47	1492,97
391,68	1425,39
391,90	1484,78
392,11	1437,67
392,33	1427,43
392,54	1425,39
392,76	1433,58
392,97	1431,53
393,19	1527,78
393,41	1423,34
393,62	1394,67
393,84	1503,21
394,05	1482,73
