344,25	1241,07
344,46	1241,07
344,68	1241,07
344,90	1361,90
345,12	1288,17
345,34	1431,53
345,55	1452,01
345,77	1329,13
345,99	1431,53
346,21	1437,67
346,42	1374,19
346,64	1415,15
346,86	1402,86
347,08	1402,86
347,30	1345,52
347,51	1423,34
347,73	1415,15
347,95	1425,39
348,17	1357,80
348,38	1462,25
348,60	1366,00
348,82	1376,24
349,04	1449,96
349,25	1413,10
349,47	1404,91
349,69	1372,14
349,91	1437,67
350,13	1402,86
350,34	1462,25
350,56	1312,75
350,78	1458,15
351,00	1519,59
351,21	1413,10
351,43	1515,50
351,65	1435,63
351,87	1406,95
352,08	1376,24
352,30	1443,82
352,52	1411,05
352,74	1472,49
352,95	1443,82
353,17	1445,87
353,39	1357,80
353,61	1425,39
353,82	1456,11
354,04	1376,24
354,26	1427,43
354,47	1497,07
354,69	1468,39
354,91	1327,08
355,13	1398,76
355,34	1478,63
355,56	1349,61
355,78	1462,25
356,00	1445,87
356,21	1376,24
356,43	1427,43
356,65	1368,04
356,86	1439,72
357,08	1452,01
357,30	1454,06
357,52	1390,57
357,73	1433,58
357,95	1449,96
358,17	1380,33
358,38	1462,25
358,60	1380,33
358,82	1486,83
359,04	1478,63
359,25	1507,30
359,47	1538,02
359,69	1511,40
359,90	1361,90
360,12	1542,12
360,34	1417,19
360,56	1413,10
360,77	1507,30
360,99	1490,92
361,21	1466,35
361,42	1492,97
361,64	1509,35
361,86	1515,50
362,07	1390,57
362,29	1452,01
362,51	1482,73
362,73	1452,01
362,94	1427,43
363,16	1441,77
363,38	1468,39
363,59	1499,11
363,81	1454,06
364,03	1531,88
364,24	1449,96
364,46	1429,48
364,68	1517,54
364,89	1456,11
365,11	1449,96
365,33	1556,46
365,54	1554,41
365,76	1542,12
365,98	1456,11
366,19	1538,02
366,41	1597,42
366,63	1433,58
366,84	1462,25
367,06	1396,71
367,28	1507,30
367,49	1441,77
367,71	1523,69
367,93	1388,52
368,14	1433,58
368,36	1423,34
368,58	1538,02
368,79	1392,62
369,01	1478,63
369,23	1476,59
369,44	1523,69
369,66	1452,01
369,88	1570,79
370,09	1443,82
370,31	1466,35
370,53	1550,31
370,74	1458,15
370,96	1445,87
371,18	1443,82
371,39	1452,01
371,61	1519,59
371,82	1523,69
372,04	1460,20
372,26	1423,34
372,47	1533,93
372,69	1458,15
372,91	1548,26
373,12	1423,34
373,34	1523,69
373,56	1374,19
373,77	1480,68
373,99	1392,62
374,20	1472,49
374,42	1419,24
374,64	1533,93
374,85	1425,39
375,07	1497,07
375,29	1472,49
375,50	1425,39
375,72	1425,39
375,93	1458,15
376,15	1427,43
376,37	1548,26
376,58	1470,44
376,80	1456,11
377,01	1382,38
377,23	1445,87
377,45	1492,97
377,66	1478,63
377,88	1503,21
378,10	1404,91
378,31	1501,16
378,53	1617,90
378,74	1447,91
378,96	1458,15
379,18	1521,64
379,39	1456,11
379,61	1505,26
379,82	1454,06
380,04	1445,87
380,26	1437,67
380,47	1492,97
380,69	1452,01
380,90	1519,59
381,12	1382,38
381,33	1486,83
381,55	1490,92
381,77	1468,39
381,98	1486,83
382,20	1415,15
382,41	1417,19
382,63	1474,54
382,85	1460,20
383,06	1474,54
383,28	1497,07
383,49	1470,44
383,71	1421,29
383,92	1374,19
384,14	1423,34
384,36	1404,91
384,57	1454,06
384,79	1404,91
385,00	1413,10
385,22	1466,35
385,43	1423,34
385,65	1443,82
385,87	1480,68
386,08	1390,57
386,30	1443,82
386,51	1421,29
386,73	1474,54
386,94	1454,06
387,16	1464,30
387,37	1433,58
387,59	1456,11
387,81	1464,30
388,02	1507,30
388,24	1478,63
388,45	1427,43
388,67	1400,81
388,88	1452,01
389,10	1447,91
389,31	1540,07
389,53	1435,63
389,75	1533,93
389,96	1429,48
390,18	1394,67
390,39	1339,37
390,61	1460,20
390,82	1415,15
391,04	1423,34
391,25	1431,53
391,47	1429,48
391,68	1476,59
391,90	1415,15
392,11	1396,71
